supplement_name,category,uses,dosage_range,contraindications,interactions,evidence_rating,clinical_refs,source,url
Magnesium,,Epsal Epsom Salt Rite Aid First Aid Epsom Salt Mag 2 Magnesium-Rougier,,,,,,mayo,https://www.mayoclinic.org/drugs-supplements/magnesium-sulfate-oral-route-topical-application-route-route-not-applicable/description/drg-20088513
Vitamin D,,"There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Error Email field is required Error Include a valid email address We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email.",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements-vitamin-d/art-20363792
Magnesium,,"Xywav Calcium oxybate, magnesium oxybate, potassium oxybate, and sodium oxybate combination is used to treat cataplexy (weak or paralyzed muscles) or excessive daytime sleepiness (EDS) in patients with narcolepsy. Narcolepsy is an uncontrollable desire for sleep or a sudden attack of deep sleep. This medicine is also used to treat idiopathic hypersomnia (IH). This medicine is available only under a restricted distribution program called Xywav® and Xyrem® REMS (Risk Evaluation and Mitigation Strategy) Program. You can only get it from one central pharmacy. This product is available in the following dosage forms: In deciding to use a medicine, the risks of taking the medicine must be weighed against the good it will do. This is a decision you and your doctor will make. For this medicine, the following should be considered:",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements/calcium-oxybate-magnesium-oxybate-potassium-oxybate-and-sodium-oxybate-oral-route/description/drg-20492058
Magnesium,,"Sutab Sodium sulfate, magnesium sulfate, and potassium chloride combination is used to cleanse the colon (bowel) before a colonoscopy. This medicine is a laxative. It works by causing you to have diarrhea to clean your colon. Cleaning your colon will help your doctor see the inside of your colon more clearly during colonoscopy. This medicine is available only with your doctor's prescription. This product is available in the following dosage forms: In deciding to use a medicine, the risks of taking the medicine must be weighed against the good it will do. This is a decision you and your doctor will make. For this medicine, the following should be considered:",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements/sodium-sulfate-magnesium-sulfate-and-potassium-chloride-oral-route/description/drg-20505144
Magnesium,,"Clenpiq Prepopik Citric acid, magnesium oxide, and sodium picosulfate combination is used to cleanse the colon (bowel) in preparation for a procedure called colonoscopy. This medicine is a laxative. It works by causing you to have diarrhea to clean your colon. Cleaning your colon will help your doctor see inside of it more clearly during colonoscopy. This medicine is available only with your doctor's prescription. This product is available in the following dosage forms:",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements/sodium-picosulfate-magnesium-and-citric-acid-oral-route/description/drg-20075687
Magnesium,,"ColPrep Kit Suprep Bowel Prep Kit Sodium sulfate, potassium sulfate, and magnesium sulfate combination is used to cleanse the colon (bowel) before a colonoscopy. This medicine is a laxative. It works by causing you to have diarrhea to clean your colon. Cleaning your colon will help your doctor see the inside of your colon more clearly during colonoscopy. This medicine is available only with your doctor's prescription. This product is available in the following dosage forms:",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements/sodium-sulfate-potassium-sulfate-and-magnesium-sulfate-oral-route/description/drg-20405981
Vitamin B,,"There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Error Email field is required Error Include a valid email address We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email.",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements-vitamin-b12/art-20363663
Vitamin B,,"There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Error Email field is required Error Include a valid email address We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email.",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements-folate/art-20364625
Vitamin A,,"There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Error Email field is required Error Include a valid email address We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email.",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements-vitamin-e/art-20364144
Vitamin B,,"There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Error Email field is required Error Include a valid email address We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email.",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements-vitamin-b6/art-20363468
Vitamin B,,"There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Error Email field is required Error Include a valid email address We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email.",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements-niacin/art-20364984
Vitamin A,,"There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Error Email field is required Error Include a valid email address We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email.",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements-vitamin-a/art-20365945
Vitamin C,,"There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Error Email field is required Error Include a valid email address We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email.",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements-vitamin-c/art-20363932
Vitamin C,,Ascocid C-500 Cecon Cemill 1000 Cemill 500,,,,,,mayo,https://www.mayoclinic.org/drugs-supplements/ascorbic-acid-oral-route/description/drg-20068031
Vitamin A,,"A-Caro-25 Lumitene Vitamins are compounds that you must have for growth and health. They are needed in small amounts only and are usually available in the foods that you eat. Beta-carotene is converted in the body to vitamin A, which is necessary for healthy eyes and skin. A lack of vitamin A may cause a rare condition called night blindness (problems seeing in the dark). It may also cause dry eyes, eye infections, skin problems, and slowed growth. Your health care professional may treat these problems by prescribing either beta-carotene, which your body can change into vitamin A, or vitamin A for you. Some conditions may increase your need for vitamin A. These include:",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements/beta-carotene-oral-route/description/drg-20066795
Vitamin A,,"Aquasol A Palmitate-A Vitamins are compounds that you must have for growth and health. They are needed in small amounts only and are usually available in the foods that you eat. Vitamin A is needed for night vision and for growth of skin, bones, and male and female reproductive organs. In pregnant women vitamin A is necessary for the growth of a healthy fetus. Lack of vitamin A may lead to a rare condition called night blindness (problems seeing in the dark), as well as dry eyes, eye infections, skin problems, and slowed growth. Your health care professional may treat these problems by prescribing vitamin A for you. Some conditions may increase your need for vitamin A. These include:",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements/vitamin-a-oral-route-intramuscular-route/description/drg-80000155
Vitamin A,,Alpha-E Aqua Gem-E Aquasol E D-Alpha Gems E-400,,,,,,mayo,https://www.mayoclinic.org/drugs-supplements/vitamin-e-oral-route/description/drg-20068918
Vitamin C,,"Ascor Ascorbic acid injection is used to treat scurvy (Vitamin C deficiency) in patients who cannot take the medicine by mouth. It is used for short term treatment (up to 1 week) only. This medicine is to be given by or under the direct supervision of your doctor. This product is available in the following dosage forms: In deciding to use a medicine, the risks of taking the medicine must be weighed against the good it will do. This is a decision you and your doctor will make. For this medicine, the following should be considered:",,,,,,mayo,https://www.mayoclinic.org/drugs-supplements/ascorbic-acid-intravenous-route/description/drg-20406580
